view,stype,measure,plain_english_description,firm_year_units,share_gt1_pct,nonmissing_n,mean,sd,min,p1,p25,p50,p75,p90,p95,p99,max
latest_source,ALL_STYPES,nonblank_named_segment_rows,Rows with a nonblank segment name,364006,60.9,364006,3.314,3.312,0.0,1.0,1.0,2.0,4.0,7.0,10.0,16.0,67.0
latest_source,ALL_STYPES,operating_candidate_segment_rows,Rows not flagged by corporate/elimination/unallocated name patterns,364006,89.0,364006,3.819,2.687,0.0,1.0,2.0,3.0,5.0,7.0,9.0,14.0,64.0
latest_source,ALL_STYPES,positive_sales_segment_rows,Rows with sales greater than zero,364006,86.7,364006,3.418,2.788,0.0,0.0,2.0,2.0,4.0,7.0,9.0,13.0,57.0
latest_source,ALL_STYPES,reported_segment_rows,All segment rows in a firm-year-stype,364006,89.2,364006,4.158,3.06,1.0,1.0,3.0,3.0,5.0,8.0,10.0,16.0,67.0
latest_source,BUSSEG,nonblank_named_segment_rows,Rows with a nonblank segment name,352429,34.3,352429,1.912,1.592,0.0,1.0,1.0,1.0,3.0,4.0,5.0,8.0,21.0
latest_source,BUSSEG,operating_candidate_segment_rows,Rows not flagged by corporate/elimination/unallocated name patterns,352429,33.5,352429,1.683,1.272,0.0,0.0,1.0,1.0,2.0,3.0,4.0,6.0,20.0
latest_source,BUSSEG,positive_sales_segment_rows,Rows with sales greater than zero,352429,33.3,352429,1.679,1.399,0.0,0.0,1.0,1.0,2.0,4.0,5.0,7.0,21.0
latest_source,BUSSEG,reported_segment_rows,All segment rows in a firm-year-stype,352429,34.3,352429,1.913,1.592,1.0,1.0,1.0,1.0,3.0,4.0,5.0,8.0,21.0
latest_source,GEOSEG,nonblank_named_segment_rows,Rows with a nonblank segment name,307470,31.9,307470,1.465,2.365,0.0,0.0,0.0,1.0,2.0,4.0,6.0,10.0,62.0
latest_source,GEOSEG,operating_candidate_segment_rows,Rows not flagged by corporate/elimination/unallocated name patterns,307470,76.4,307470,2.375,1.86,0.0,1.0,2.0,2.0,2.0,4.0,5.0,10.0,61.0
latest_source,GEOSEG,positive_sales_segment_rows,Rows with sales greater than zero,307470,36.1,307470,1.905,1.883,0.0,0.0,1.0,1.0,2.0,4.0,5.0,9.0,53.0
latest_source,GEOSEG,reported_segment_rows,All segment rows in a firm-year-stype,307470,76.9,307470,2.463,1.976,1.0,1.0,2.0,2.0,2.0,4.0,6.0,10.0,62.0
latest_source,OPSEG,nonblank_named_segment_rows,Rows with a nonblank segment name,13650,99.8,13650,5.839,2.701,1.0,2.0,4.0,5.0,7.0,9.0,11.0,16.0,29.0
latest_source,OPSEG,operating_candidate_segment_rows,Rows not flagged by corporate/elimination/unallocated name patterns,13650,99.1,13650,4.741,2.546,1.0,2.0,3.0,4.0,6.0,8.0,10.0,14.0,28.0
latest_source,OPSEG,positive_sales_segment_rows,Rows with sales greater than zero,13650,97.2,13650,4.729,2.477,0.0,0.0,3.0,4.0,6.0,8.0,9.0,13.0,22.0
latest_source,OPSEG,reported_segment_rows,All segment rows in a firm-year-stype,13650,99.8,13650,5.839,2.701,1.0,2.0,4.0,5.0,7.0,9.0,11.0,16.0,29.0
latest_source,STSEG,nonblank_named_segment_rows,Rows with a nonblank segment name,432,99.8,432,5.396,2.193,1.0,2.0,4.0,5.0,6.0,8.0,9.0,13.69,15.0
latest_source,STSEG,operating_candidate_segment_rows,Rows not flagged by corporate/elimination/unallocated name patterns,432,99.3,432,4.516,2.087,1.0,2.0,3.0,4.0,5.0,7.0,9.0,11.69,14.0
latest_source,STSEG,positive_sales_segment_rows,Rows with sales greater than zero,432,97.0,432,4.731,2.246,0.0,1.0,3.0,4.0,5.0,8.0,9.0,12.0,14.0
latest_source,STSEG,reported_segment_rows,All segment rows in a firm-year-stype,432,99.8,432,5.396,2.193,1.0,2.0,4.0,5.0,6.0,8.0,9.0,13.69,15.0
raw_source,ALL_STYPES,nonblank_named_segment_rows,Rows with a nonblank segment name,364006,69.6,364006,6.967,8.552,0.0,1.0,1.0,3.0,9.0,18.0,24.0,38.0,165.0
raw_source,ALL_STYPES,operating_candidate_segment_rows,Rows not flagged by corporate/elimination/unallocated name patterns,364006,97.4,364006,7.037,7.005,0.0,1.0,3.0,4.0,9.0,15.0,21.0,34.0,157.0
raw_source,ALL_STYPES,positive_sales_segment_rows,Rows with sales greater than zero,364006,93.0,364006,6.603,7.229,0.0,0.0,2.0,4.0,9.0,15.0,21.0,33.0,154.0
raw_source,ALL_STYPES,reported_segment_rows,All segment rows in a firm-year-stype,364006,97.9,364006,7.811,8.085,1.0,1.0,3.0,5.0,9.0,18.0,24.0,38.0,165.0
raw_source,BUSSEG,nonblank_named_segment_rows,Rows with a nonblank segment name,352429,64.0,352429,3.62,3.836,0.0,1.0,1.0,3.0,3.0,9.0,12.0,18.0,36.0
raw_source,BUSSEG,operating_candidate_segment_rows,Rows not flagged by corporate/elimination/unallocated name patterns,352429,63.2,352429,3.108,2.915,0.0,1.0,1.0,3.0,3.0,6.0,9.0,15.0,31.0
raw_source,BUSSEG,positive_sales_segment_rows,Rows with sales greater than zero,352429,60.1,352429,3.107,3.192,0.0,0.0,1.0,2.0,3.0,7.0,9.0,15.0,33.0
raw_source,BUSSEG,reported_segment_rows,All segment rows in a firm-year-stype,352429,64.0,352429,3.621,3.835,1.0,1.0,1.0,3.0,3.0,9.0,12.0,18.0,36.0
raw_source,GEOSEG,nonblank_named_segment_rows,Rows with a nonblank segment name,307470,49.5,307470,3.496,5.906,0.0,0.0,0.0,1.0,4.0,11.0,15.0,26.0,152.0
raw_source,GEOSEG,operating_candidate_segment_rows,Rows not flagged by corporate/elimination/unallocated name patterns,307470,94.4,307470,4.283,5.056,0.0,1.0,2.0,2.0,4.0,9.0,14.0,24.0,149.0
raw_source,GEOSEG,positive_sales_segment_rows,Rows with sales greater than zero,307470,56.3,307470,3.758,5.021,0.0,0.0,1.0,2.0,4.0,9.0,13.0,23.0,145.0
raw_source,GEOSEG,reported_segment_rows,All segment rows in a firm-year-stype,307470,94.5,307470,4.494,5.398,1.0,1.0,2.0,2.0,4.0,11.0,15.0,26.0,152.0
raw_source,OPSEG,nonblank_named_segment_rows,Rows with a nonblank segment name,13650,99.9,13650,13.193,7.366,1.0,2.0,8.0,12.0,18.0,22.0,27.0,36.0,62.0
raw_source,OPSEG,operating_candidate_segment_rows,Rows not flagged by corporate/elimination/unallocated name patterns,13650,99.7,13650,10.647,6.6,1.0,2.0,6.0,9.0,14.0,18.0,24.0,33.0,59.0
raw_source,OPSEG,positive_sales_segment_rows,Rows with sales greater than zero,13650,98.8,13650,10.902,6.557,0.0,1.0,6.0,10.0,15.0,19.0,23.0,31.0,53.0
raw_source,OPSEG,reported_segment_rows,All segment rows in a firm-year-stype,13650,99.9,13650,13.193,7.366,1.0,2.0,8.0,12.0,18.0,22.0,27.0,36.0,62.0
raw_source,STSEG,nonblank_named_segment_rows,Rows with a nonblank segment name,432,99.8,432,11.6,6.05,1.0,3.0,7.0,12.0,15.0,18.0,22.0,30.76,39.0
raw_source,STSEG,operating_candidate_segment_rows,Rows not flagged by corporate/elimination/unallocated name patterns,432,99.5,432,9.725,5.489,1.0,2.0,6.0,9.0,13.0,15.0,19.45,27.0,36.0
raw_source,STSEG,positive_sales_segment_rows,Rows with sales greater than zero,432,98.6,432,10.308,5.857,0.0,1.0,6.0,10.0,14.25,18.0,21.45,27.0,32.0
raw_source,STSEG,reported_segment_rows,All segment rows in a firm-year-stype,432,99.8,432,11.6,6.05,1.0,3.0,7.0,12.0,15.0,18.0,22.0,30.76,39.0
