shock_id,source_id,source_title,source_url,source_type,source_claim
ag_options_and_extensions_1984_2011,cme_first_trade_dates,CME Group Historical First Trade Dates,https://www.cmegroup.com/media-room/historical-first-trade-dates.html,exchange,CME historical list records first trade dates for listed futures and options contracts.
california_carbon_2011,ice_cca,ICE Announces First Trade of California Emissions Contract,https://www.prnewswire.com/news-releases/ice-announces-first-trade-of-california-emissions-contract-128580553.html,exchange,ICE announced the first exchange-cleared California Carbon Allowance forward trade in August 2011.
cleared_nodal_power_contracts_2009,nodal_dcm,Nodal Exchange Receives CFTC Approval to Register as a Designated Contract Market,https://www.nodalexchange.com/nodal-exchange-receives-cftc-approval-to-register-as-a-designated-contract-market/,exchange,Nodal Exchange received CFTC approval to register as a designated contract market.
cleared_nodal_power_contracts_2009,nodal_launch,Nodal Exchange and LCH.Clearnet Launch Service for Nodal Power Contracts,https://www.nodalexchange.com/lch-clearnet-and-nodal-exchange-launch-service-for-nodal-power-contracts/,exchange,Nodal Exchange launched cleared cash-settled nodal power contracts in April 2009.
cleared_power_swap_expansion_2005_2009,cme_power_2005,NYMEX to Launch Eleven New Financially Settled Electricity Futures Contracts,https://www.cmegroup.com/media-room/press-releases/2005/2/09/exchange_to_launchelevennewfinanciallysettledelectricityfuturesc.html,exchange,NYMEX announced financially settled electricity futures across several power markets in 2005.
cleared_power_swap_expansion_2005_2009,cme_power_2009,"CME Group Announces Launch of New PJM, ISO Electricity Futures",https://investor.cmegroup.com/news-releases/news-release-details/cme-group-announces-launch-new-pjm-iso-electricity-futures,exchange,CME announced new PJM and ISO electricity futures in 2009.
cleared_power_swap_expansion_2005_2009,cme_power_ser4999,CME Market Regulation Advisory SER-4999,https://www.cmegroup.com/tools-information/lookups/advisories/market-regulation/SER-4999.html,exchange,CME advisory documents additional electricity product listings in September 2009.
crude_export_reopening_2015_2016,eia_crude_exports,EIA Petroleum Exports Data,https://www.eia.gov/dnav/pet/pet_move_exp_a_epc0_eex_mbbl_a.htm,government,EIA tracks U.S. crude oil export quantities before and after the export-policy change.
crude_export_reopening_2015_2016,gao_crude_exports,"GAO-21-118, Crude Oil Exports",https://www.gao.gov/products/gao-21-118,government,GAO reviews effects and implementation issues around the lifting of crude-oil export restrictions.
early_exchange_futures_midwest_south_1998,cftc_1999_futures,CFTC 1999 Futures by Exchange,https://www.cftc.gov/sites/default/files/files/anr/anr1999_futures_by_exchange.pdf,regulator,"CFTC annual tables list electricity futures including PJM, Cinergy, Entergy, Palo Verde, and COB."
early_exchange_futures_midwest_south_1998,ferc_midwest_report,FERC Midwest Power Market Staff Report,https://www.ferc.gov/sites/default/files/2020-05/mastback.pdf,regulator,FERC staff report discusses Cinergy and Entergy power futures and the Midwest/South power-market context.
early_exchange_futures_pjm_1999,cftc_1999_futures,CFTC 1999 Futures by Exchange,https://www.cftc.gov/sites/default/files/files/anr/anr1999_futures_by_exchange.pdf,regulator,"CFTC annual tables list electricity futures including PJM, Cinergy, Entergy, Palo Verde, and COB."
early_exchange_futures_west_1996,caiso_ferc_staff,FERC Staff Report on Western Energy Markets,https://www.caiso.com/documents/fercstaffreportel00-95-3.pdf,regulator,"FERC/CAISO staff report discusses western electricity futures hubs including COB, Palo Verde, and Mid-Columbia."
early_exchange_futures_west_1996,cftc_energy_derivatives,"CFTC, Energy Derivatives: The Regulatory Challenge of a Global Marketplace",https://www.cftc.gov/sites/default/files/opa/speeches/opadial-69.htm,regulator,"CFTC describes early energy derivative trading, including first electricity futures trading on March 29, 1996."
early_exchange_futures_west_1996,cme_delist_power,CME/NYMEX Delists Physically Settled Electricity Contracts,https://www.cmegroup.com/media-room/press-releases/2006/1/17/exchange_to_delistphysicallysettledelectricitycontractsonnymexcl.html,exchange,NYMEX announced delisting of several physically settled electricity contracts in 2006.
ercot_nodal_market_2010,ercot_2010_financials,ERCOT 2010 Financial Statements,https://www.ercot.com/files/docs/2011/04/26/ercot_2010_financial_statements.pdf,rto_iso,ERCOT documents the 2010 nodal market implementation and market redesign.
freight_derivatives_1985_and_modern_routes,baltic_timeline,"Baltic Exchange Timeline, 1980-1992",https://www.balticexchange.com/en/who-we-are/history/baltic-timeline/1980-1992.html,exchange,Baltic Exchange history records the freight-index and freight-derivative market foundations in the 1980s.
freight_derivatives_1985_and_modern_routes,cme_freight,CME Group Freight Futures and Options,https://www.cmegroup.com/markets/energy/freight.html,exchange,CME currently lists multiple freight futures and options products.
gas_globalization_2016,eia_lng_exports,"EIA Today in Energy, U.S. LNG export development",https://www.eia.gov/TODAYINENERGY/detail.php?id=67224,government,EIA documents the modern U.S. LNG export opening after Lower-48 LNG export terminal development.
metals_contract_availability_1982_1990,cme_first_trade_dates,CME Group Historical First Trade Dates,https://www.cmegroup.com/media-room/historical-first-trade-dates.html,exchange,CME historical list records first trade dates for listed futures and options contracts.
miso_energy_market_2005,ferc_miso,FERC Electric Power Markets: MISO,https://www.ferc.gov/industries-data/electric/electric-power-markets/miso,regulator,FERC describes MISO market operations and regional footprint.
miso_south_integration_2013,eia_miso_south,"EIA Today in Energy, MISO South Integration",https://www.eia.gov/todayinenergy/detail.cfm?id=13511,government,EIA describes the December 2013 integration of MISO South utilities and systems.
miso_south_integration_2013,ferc_miso,FERC Electric Power Markets: MISO,https://www.ferc.gov/industries-data/electric/electric-power-markets/miso,regulator,FERC describes MISO market operations and regional footprint.
natural_gas_market_liberalization_1990_1993,cme_natural_gas,"CME Group, Natural Gas: from Pipelines to Portfolios",https://www.cmegroup.com/articles/2023/natural-gas-from-pipelines-to-portfolios.html,exchange,NYMEX introduced Henry Hub Natural Gas futures in April 1990.
natural_gas_market_liberalization_1990_1993,ferc_order_636,"FERC Order No. 636, Restructuring Pipeline Services",https://www.ferc.gov/order-no-636-restructuring-pipeline-services,regulator,FERC Order 636 required restructuring and unbundling of interstate natural-gas pipeline services.
oil_storage_dislocation_2020,cftc_negative_wti,CFTC Press Release on Negative WTI Settlement Review,https://www.cftc.gov/PressRoom/PressReleases/8315-20,regulator,"CFTC reviewed the April 20, 2020 negative WTI futures settlement episode."
oil_storage_dislocation_2020,eia_negative_wti,"EIA Today in Energy, WTI Futures Price Fell Below Zero",https://www.eia.gov/todayinenergy/detail.php?id=43495,government,"EIA links the April 2020 negative WTI settlement to storage constraints, demand collapse, and contract-market mechanics."
petroleum_futures_institutionalization_1981_1986,cftc_energy_derivatives,"CFTC, Energy Derivatives: The Regulatory Challenge of a Global Marketplace",https://www.cftc.gov/sites/default/files/opa/speeches/opadial-69.htm,regulator,"CFTC describes early energy derivative trading, including first electricity futures trading on March 29, 1996."
petroleum_futures_institutionalization_1981_1986,cme_first_trade_dates,CME Group Historical First Trade Dates,https://www.cmegroup.com/media-room/historical-first-trade-dates.html,exchange,CME historical list records first trade dates for listed futures and options contracts.
petroleum_futures_institutionalization_1981_1986,cme_wti_40_years,"CME OpenMarkets, How WTI Became the Most Important Commodity Contract on the Planet",https://www.cmegroup.com/openmarkets/energy/2023/how-wti-became-the-most-important-commodity-contract-on-the-planet.html,exchange,NYMEX launched the Light Sweet Crude Oil futures contract in March 1983.
petroleum_futures_institutionalization_1981_1986,exec_order_12287,"Executive Order 12287, Decontrol of Crude Oil and Refined Petroleum Products",https://www.presidency.ucsb.edu/documents/executive-order-12287-decontrol-crude-oil-and-refined-petroleum-products,government,U.S. crude oil and refined-product price controls were removed in January 1981.
pjm_capacity_rpm_2007,pjm_rpm_auction,PJM Completes First Reliability Pricing Model Auction,https://www.pjm.com/-/media/DotCom/Images/ctc-display/modules/timeline/2007-first-annual-pdf.ashx,rto_iso,PJM completed its first annual RPM capacity auction in April 2007.
pjm_energy_market_design_1997_1999,pjm_history,PJM History,https://www.pjm.com/about-pjm/who-we-are/pjm-history.aspx,rto_iso,"PJM opened its first bid-based energy market on April 1, 1997."
pjm_energy_market_design_1997_1999,pjm_som_1999,PJM 1999 State of the Market Report,https://www.monitoringanalytics.com/reports/PJM_State_of_the_Market/1999/state-of-the-market-report-1999.pdf,market_monitor,PJM market-monitor report documents early PJM LMP and market-based bidding implementation.
refined_products_hedgeability_1978_1994,cme_first_trade_dates,CME Group Historical First Trade Dates,https://www.cmegroup.com/media-room/historical-first-trade-dates.html,exchange,CME historical list records first trade dates for listed futures and options contracts.
rin_credit_hedgeability_2010_2013,cme_rin_futures,CME Group Announces New Futures Contracts for Renewable Identification Numbers,https://investor.cmegroup.com/news-releases/news-release-details/cme-group-announces-new-futures-contracts-renewable,exchange,"CME announced D4, D5, and D6 RIN futures for May 2013 trading."
rin_credit_hedgeability_2010_2013,epa_rfs2,EPA Renewable Fuel Standard RFS2 Final Rule,https://www.epa.gov/renewable-fuel-standard/renewable-fuel-standard-rfs2-final-rule,regulator,EPA RFS2 established the expanded renewable-fuel compliance framework.
rin_credit_hedgeability_2010_2013,epa_rins,"EPA, Renewable Identification Numbers under the RFS Program",https://www.epa.gov/renewable-fuel-standard/renewable-identification-numbers-rins-under-renewable-fuel-standard-program,regulator,EPA describes RINs as compliance credits under the Renewable Fuel Standard program.
short_dated_power_contracts_2012,cme_daily_power_2012,CME Market Regulation Advisory SER-6378,https://www.cmegroup.com/tools-information/lookups/advisories/market-regulation/SER-6378.html,exchange,"NYMEX listed daily electricity futures across PJM, NYISO, and ISO-NE hubs/zones in October 2012."
short_dated_power_contracts_2012,cme_gas_power_2012,CME Group Launches New Natural Gas and Power Markets,https://www.cmegroup.com/media-room/press-releases/2012/9/10/cme_group_launchesnewnaturalgasandpowermarkets.html,exchange,CME announced a broad suite of new natural gas and power markets in 2012.
silver_market_rules_1980_1981,cftc_history_1980s,CFTC History of the CFTC: 1980s,https://www.cftc.gov/About/HistoryoftheCFTC/history_1980s.html,regulator,CFTC history records the 1979-1980 silver episode and subsequent market-rule response.
silver_market_rules_1980_1981,cftc_metals_testimony,CFTC Testimony on Metal Markets,https://www.cftc.gov/PressRoom/SpeechesTestimony/metalmarkets032510_berkovitz,regulator,CFTC testimony discusses the Hunt silver crisis and exchange emergency-limit actions.
spp_integrated_marketplace_2014,spp_integrated_marketplace,SPP Marks a Decade of Integrated Marketplace,https://www.spp.org/news-list/spp-marks-a-decade-of-integrated-marketplace-and-more-than-102-billion-in-savings/,rto_iso,"SPP identifies March 1, 2014 as the Integrated Marketplace launch date."
spp_integrated_marketplace_2014,spp_markets,SPP Markets and Operations,https://www.spp.org/markets-operations/,rto_iso,"SPP describes Integrated Marketplace components including day-ahead, real-time, TCR, RUC, reserve, and balancing authority functions."
weather_derivatives_1999,cme_weather,CME Group Weather Derivatives,https://www.cmegroup.com/articles/2023/cme-group-weather-suite-expanded.html,exchange,CME weather derivatives began in 1999 and were later expanded across cities and products.
western_eim_launch_2014,caiso_eim,California ISO and PacifiCorp Launch First Western Energy Market,https://www.caiso.com/documents/californiaiso_pacificorplaunchfirstwesternenergymarket.pdf,rto_iso,CAISO and PacifiCorp launched the Western Energy Imbalance Market in November 2014.
western_eim_launch_2014,ferc_caiso,FERC Electric Power Markets: CAISO,https://www.ferc.gov/industries-data/electric/electric-power-markets/caiso,regulator,FERC describes CAISO and Western EIM institutional context.
western_hub_expansion_midc_2000,caiso_ferc_staff,FERC Staff Report on Western Energy Markets,https://www.caiso.com/documents/fercstaffreportel00-95-3.pdf,regulator,"FERC/CAISO staff report discusses western electricity futures hubs including COB, Palo Verde, and Mid-Columbia."
